date,ecom ,consum_index,xr,CPI,RTS_OGI,USD_XR,UKR_ecom,Dem_mthly,RCardinR,NRBankinR,Rbankoutside,vix_close,,
3/26/21,13880.01477,266.5123598,94.86931178,0.023989763,214.6643891,76.16264009,2476.345525,2.935483871,13665.33333,35.2,199.7533333,18.86000061,,
3/29/21,13157.2093,267.6588696,94.90742486,0.023977056,215.8212663,75.80584052,2209.371897,2.935483871,13652.91667,34.9,200.9766667,20.73999977,,
3/30/21,13281.83093,267.1333859,94.48818092,0.023710219,213.5075119,75.82413793,2319.35453,2.935483871,13648.77778,34.8,201.3844444,19.61000061,,
3/31/21,13481.22554,269.8563467,94.17692405,0.023405262,214.1630756,75.70215517,2703.37776,2.935483871,13644.63889,34.7,201.7922222,19.39999962,,
4/1/21,6717.048307,267.2400196,92.19510038,0.023074713,212.4585129,75.65436422,3217.846386,5.066666667,13640.5,34.6,202.2,17.32999992,,
4/5/21,8350.121071,267.7181705,92.03627105,0.021956537,210.095097,76.44852281,2359.069409,5.066666667,13732.91319,34.51208791,202.7142857,17.90999985,,
4/6/21,9143.327842,262.7135249,91.13094387,0.021143319,205.7113416,76.56923491,2291.11772,5.066666667,13756.01648,34.49010989,202.8428571,18.12000084,,
4/7/21,9259.975896,262.1716207,89.95560683,0.020431753,206.7786907,76.55017511,2262.023278,5.066666667,13779.11978,34.46813187,202.9714286,17.15999985,,
4/8/21,10006.52345,262.8410318,90.55121681,0.019720187,205.7875808,77.68105693,2865.018688,5.066666667,13802.22308,34.44615385,203.1,16.95000076,,
4/9/21,11149.67438,260.0040035,90.36856308,0.019008621,201.9756196,77.10290948,2665.150932,5.066666667,13825.32637,34.42417582,203.2285714,16.69000053,,
4/12/21,11056.35594,263.9567172,90.29708989,0.016975575,203.9197198,77.40786638,3104.245859,5.066666667,13894.63626,34.35824176,203.6142857,16.90999985,,
4/13/21,10799.73022,267.1125127,90.66239734,0.01743301,208.227236,77.47775233,1965.357795,5.066666667,13917.73956,34.33626374,203.7428571,16.64999962,,
4/14/21,10963.03749,267.2400196,91.52801719,0.017890445,213.4877425,77.03302353,2061.670416,5.066666667,13940.84286,34.31428571,203.8714286,16.98999977,,
4/15/21,11686.25543,264.4986214,90.32091428,0.018297055,211.6198815,75.83225575,2602.527072,5.066666667,13963.94615,34.29230769,204,16.56999969,,
4/16/21,10473.11566,265.8374438,91.42477813,0.018703664,212.0010776,76.79795259,2212.444736,5.066666667,13987.04945,34.27032967,204.1285714,16.25,,
4/19/21,9026.679787,263.287306,90.63063148,0.019974318,207.9985183,76.04191361,2478.720412,5.066666667,14056.35934,34.2043956,204.5142857,17.29000092,,
4/20/21,8863.372511,261.0878121,90.24944109,0.020126796,205.5207435,76.21980514,3316.58166,5.066666667,14079.46264,34.18241758,204.6428571,18.68000031,,
4/21/21,7930.188074,262.9047853,90.42415335,0.020228448,206.7786907,76.1054463,2774.864674,5.066666667,14102.56593,34.16043956,204.7714286,17.5,,
4/22/21,8653.406013,266.0287042,91.3612464,0.020380927,210.8574892,76.78524605,2274.915045,5.066666667,14125.66923,34.13846154,204.9,18.70999908,,
4/23/21,9633.249671,268.8657325,92.26657358,0.020533405,211.2005657,76.28333782,2251.064206,5.066666667,14148.77253,34.11648352,205.0285714,17.32999992,,
4/26/21,9423.283173,270.4914454,92.03627105,0.020940014,209.9044989,74.85385237,2493.309164,5.066666667,14218.08242,34.05054945,205.4142857,17.63999939,,
4/27/21,8606.746791,272.5315557,92.11568571,0.021956537,209.1802263,74.79031968,5895.422901,5.066666667,14241.18571,34.02857143,205.5428571,17.55999947,,
4/28/21,8956.690955,270.0132946,92.57629077,0.022769756,206.5118534,74.95550467,6042.016392,5.066666667,14264.28901,34.00659341,205.6714286,17.28000069,,
4/29/21,8770.054067,267.9094308,92.50481757,0.023582974,205.1395474,74.87926545,4075.902539,5.066666667,14287.39231,33.98461538,205.8,17.61000061,,
4/30/21,9609.92006,264.4667447,91.80596852,0.024497845,202.5474138,74.41547683,1917.135655,5.066666667,14310.4956,33.96263736,205.9285714,18.61000061,,
5/3/21,8723.394845,265.2317861,91.78214412,0.0269375,205.3682651,75.05715697,1593.502484,2.387096774,14379.80549,33.8967033,206.3142857,18.30999947,,
5/4/21,10939.70788,266.0287042,92.29833944,0.026175108,206.8168103,75.15880927,1968.101379,2.387096774,14402.90879,33.87472527,206.4428571,19.47999954,,
5/5/21,10379.79722,270.5233221,92.55246637,0.025412716,210.1713362,75.20963542,2182.626589,2.387096774,14426.01209,33.85274725,206.5714286,19.14999962,,
5/6/21,10099.84189,273.0415833,92.69541277,0.024751976,211.1624461,74.83479256,2665.526204,2.387096774,14449.11538,33.83076923,206.7,18.38999939,,
5/7/21,8700.065234,275.4323375,92.91777383,0.023989583,213.4496228,74.52983567,2745.803385,2.387096774,14472.21868,33.80879121,206.8285714,16.69000053,,
5/10/21,9236.646286,273.1372134,92.55246637,0.021956537,212.7634698,74.14228628,1945.267997,2.387096774,14541.52857,33.74285714,207.2142857,19.65999985,,
5/11/21,8466.769125,272.0852816,92.62393957,0.02165158,211.9248384,74.14863955,2266.868157,2.387096774,14564.63187,33.72087912,207.3428571,21.84000015,,
5/12/21,9656.579282,271.5115005,92.64776397,0.021346624,212.6109914,74.14228628,3479.124142,2.387096774,14587.73516,33.6989011,207.4714286,27.59000015,,
5/13/21,16072.22228,272.0852816,92.8542421,0.021041667,212.1154364,74.05334052,2734.82511,2.387096774,14610.83846,33.67692308,207.6,23.12999916,,
5/14/21,12642.76948,272.5315557,92.94159823,0.020787536,212.0391972,74.32653107,2325.798776,2.387096774,14633.94176,33.65494505,207.7285714,18.80999947,,
5/17/21,10869.71905,270.6827057,92.76688597,0.019974318,213.1065463,73.88815553,3395.960492,2.387096774,14703.25165,33.58901099,208.1142857,19.71999931,,
5/18/21,11242.99282,272.722816,92.8065933,0.019923491,214.70757,73.83732938,4074.968711,2.387096774,14726.35495,33.56703297,208.2428571,21.34000015,,
5/19/21,11359.64088,269.503267,92.91777383,0.019923491,212.5347522,73.69755747,2582.878877,2.387096774,14749.45824,33.54505495,208.3714286,22.18000031,,
5/20/21,11312.98166,271.1608566,93.08454463,0.019923491,211.5055226,73.66579113,2307.25377,2.387096774,14772.56154,33.52307692,208.5,20.67000008,,
5/21/21,9143.327842,273.3922272,93.23543249,0.019923491,213.2590248,73.59590517,2294.77739,2.387096774,14795.66484,33.5010989,208.6285714,20.14999962,,
5/24/21,12736.08792,275.0179401,92.7827689,0.019923491,213.2590248,73.53872575,2157.72198,2.387096774,14864.97473,33.43516484,209.0142857,18.39999962,,
5/25/21,14579.12719,275.9423651,92.8542421,0.019923491,213.9832974,73.50695941,2154.320609,2.387096774,14888.07802,33.41318681,209.1428571,18.84000015,,
5/26/21,15232.35629,276.4523926,92.71923717,0.019923491,214.8981681,73.39260057,2307.282493,2.387096774,14911.18132,33.39120879,209.2714286,17.36000061,,
5/27/21,15675.6189,276.5798995,93.02895436,0.019923491,215.7367996,73.4688398,2615.893604,2.387096774,14934.28462,33.36923077,209.4,16.73999977,,
5/28/21,18405.18338,277.6955848,92.98130556,0.019923491,216.575431,73.45613326,2369.824061,2.387096774,14957.38791,33.34725275,209.5285714,16.76000023,,
6/1/21,13365.98742,281.9033123,92.77482743,0.020431753,221.6453394,73.29094828,2052.306807,2.6,15049.8011,33.25934066,210.0428571,17.89999962,,
6/2/21,11009.69672,283.9115459,93.06866169,0.020838362,226.9058459,73.2464754,1846.849185,2.6,15072.9044,33.23736264,210.1714286,17.47999954,,
6/3/21,12712.75831,285.0909846,93.40220329,0.021244971,227.8588362,73.4878996,2389.943958,2.6,15096.00769,33.21538462,210.3,18.04000092,,
6/4/21,9773.227337,284.0390528,93.75162781,0.02165158,229.8791756,73.25918193,2086.730403,2.6,15119.11099,33.19340659,210.4285714,16.42000008,,
6/7/21,14135.86458,283.4652717,93.91045714,0.022922234,230.336611,73.03681753,2137.030223,2.6,15188.42088,33.12747253,210.8142857,16.42000008,,
6/8/21,8770.054067,282.9871209,94.3472378,0.022363147,231.2133621,72.92245869,2081.864228,2.6,15211.52418,33.10549451,210.9428571,17.06999969,,
6/9/21,9166.657453,283.8477924,94.66489646,0.021753233,233.9960938,72.78904005,2383.46791,2.6,15234.62747,33.08351648,211.0714286,17.88999939,,
6/10/21,10893.04866,285.2184915,94.76813552,0.021244971,233.9960938,72.08382723,5187.710568,2.6,15257.73077,33.06153846,211.2,16.10000038,,
6/11/21,9236.646286,286.079163,95.41139431,0.020635057,232.4331897,72.17277299,4644.330877,2.6,15280.83407,33.03956044,211.3285714,15.64999962,,
6/14/21,5713.875037,286.4935604,94.94284779,0.018957795,235.3683998,71.75345726,3089.318462,2.6,15350.14396,32.97362637,211.7142857,16.38999939,,
6/15/21,8256.802627,284.2621898,95.26844791,0.018957795,234.4916487,71.79157687,2241.619508,2.6,15373.24725,32.95164835,211.8428571,17.02000046,,
6/16/21,8536.757958,286.4616837,95.33992111,0.018957795,238.0748922,71.82969648,2242.052366,2.6,15396.35055,32.92967033,211.9714286,18.14999962,,
6/17/21,12199.50687,285.0272312,95.8164091,0.018957795,235.7114763,72.03300108,2985.081093,2.6,15419.45385,32.90769231,212.1,17.75,,
6/18/21,13645.94275,282.9871209,96.06259456,0.018957795,233.0431034,72.48408315,2737.455402,2.6,15442.55714,32.88571429,212.2285714,20.70000076,,
6/21/21,11452.95932,283.210258,94.99843805,0.018957795,232.0519935,72.87798581,1998.118731,2.6,15511.86703,32.81978022,212.6142857,17.88999939,,
6/22/21,11476.28893,283.6884088,95.14138445,0.01941523,233.7292565,73.18929598,2296.548378,2.6,15534.97033,32.7978022,212.7428571,16.65999985,,
6/23/21,11406.3001,286.6848208,95.68934564,0.019821839,236.5119881,73.13846983,2316.722097,2.6,15558.07363,32.77582418,212.8714286,16.31999969,,
6/24/21,11499.61854,284.4534502,96.04671163,0.020228448,237.0837823,72.65562141,2988.727485,2.6,15581.17692,32.75384615,213,15.97000027,,
6/25/21,9703.238504,284.4534502,96.11024336,0.020635057,238.0367726,72.31889817,2884.52435,2.6,15604.28022,32.73186813,213.1285714,15.61999989,,
6/28/21,9329.964729,286.8442044,96.1261263,0.021905711,236.1689116,72.17277299,1941.421068,2.6,15673.59011,32.66593407,213.5142857,15.76000023,,
6/29/21,10006.52345,283.0827511,95.57816511,0.028360632,232.7762662,72.17277299,2083.431287,2.6,15696.69341,32.64395604,213.6428571,16.02000046,,
6/30/21,9959.864224,282.50897,95.24462351,0.034510596,236.0926724,72.36972432,2144.870861,2.6,15719.7967,32.62197802,213.7714286,15.82999992,,
7/1/21,8942.069118,282.9399158,94.09120265,0.041645339,238.1320043,72.75983297,2878.181476,3.387096774,15742.9,32.6,213.9,15.47999954,,
7/2/21,8030.571555,284.5406654,93.69686659,0.047935075,237.5983297,73.06224856,2368.446656,3.387096774,15750.22826,32.67608696,214.5532609,15.06999969,,
7/6/21,10507.97519,280.526087,93.66824543,0.060705145,237.1408944,73.33416846,2246.012868,3.387096774,15779.5413,32.98043478,217.1663043,16.44000053,,
7/7/21,14200.70891,279.6875991,93.05766057,0.055876661,234.4344019,73.41294899,2627.654499,3.387096774,15786.86957,33.05652174,217.8195652,16.20000076,,
7/8/21,15789.98671,275.4697509,92.59018154,0.050857579,232.0328664,74.37356322,3002.202666,3.387096774,15794.19783,33.1326087,218.4728261,19,,
7/9/21,13102.23748,276.3336476,93.16578497,0.046029095,232.6808998,74.20583693,3307.772661,3.387096774,15801.52609,33.20869565,219.126087,16.18000031,,
7/12/21,13406.07,279.0015636,92.92409513,0.031988371,232.5665409,74.53366559,2993.683146,3.387096774,15823.51087,33.43695652,221.0858696,16.17000008,,
7/13/21,13896.87638,279.5097381,93.27390937,0.030145923,233.0620959,74.58703305,2926.896698,3.387096774,15830.83913,33.51304348,221.7391304,17.12000084,,
7/14/21,14153.96544,277.2991791,93.362953,0.028367008,229.70757,74.51333513,2748.420875,3.387096774,15838.16739,33.58913043,222.3923913,16.32999992,,
7/15/21,15906.84537,275.8762905,93.32479145,0.026588093,225.7431304,74.06860632,3096.807151,3.387096774,15845.49565,33.66521739,223.0456522,17.01000023,,
7/16/21,12050.50953,274.453402,93.31525106,0.024936243,223.5321929,74.14230424,2605.475901,3.387096774,15852.82391,33.74130435,223.698913,18.45000076,,
7/19/21,13522.92867,266.2972015,93.07992148,0.019980693,214.5359644,74.23633261,2817.221001,3.387096774,15874.8087,33.96956522,225.6586957,22.5,,
7/20/21,14714.88702,266.7037411,93.26118886,0.019154768,215.1077586,74.29732399,2948.630843,3.387096774,15882.13696,34.04565217,226.3119565,19.72999954,,
7/21/21,13709.90253,269.3716572,93.40747481,0.018455909,219.0340787,74.3684806,4572.617439,3.387096774,15889.46522,34.12173913,226.9652174,17.90999985,,
7/22/21,14364.31103,268.9651176,93.73184802,0.017757049,220.5969828,74.49046336,4573.229917,3.387096774,15896.79348,34.19782609,227.6184783,17.69000053,,
7/23/21,14247.45237,269.0413437,93.93855643,0.01705819,219.5677532,74.3659393,3815.012751,3.387096774,15904.12174,34.27391304,228.2717391,17.20000076,,
7/26/21,17098.80372,268.6093954,93.6650653,0.014961611,219.5296336,73.89325611,2918.310033,3.387096774,15926.10652,34.50217391,230.2315217,17.57999992,,
7/27/21,14971.97607,267.1610982,93.87177371,0.011022584,219.987069,74.00253233,2845.581773,3.387096774,15933.43478,34.57826087,230.8847826,19.36000061,,
7/28/21,15976.96057,268.7872565,93.97989812,0.007464754,223.1128772,74.05589978,2869.453534,3.387096774,15940.76304,34.65434783,231.5380435,18.30999947,,
7/29/21,18664.70979,273.5640966,93.87177371,0.003906923,226.3149246,73.81193427,3208.100849,3.387096774,15948.0913,34.73043478,232.1913043,17.70000076,,
7/30/21,15766.61498,273.8690013,94.09756291,0.000349093,223.7227909,73.54255568,2783.636895,3.387096774,15955.41957,34.80652174,232.8445652,18.23999977,,
8/2/21,18010.30128,273.7927751,94.24702899,-0.010070268,225.5906519,73.08766164,2482.616675,4.032258065,15977.40435,35.03478261,234.8043478,19.45999908,,
8/3/21,17940.18609,274.6566718,94.05940135,-0.008863147,224.7520205,73.04700072,2426.220226,4.032258065,15984.73261,35.11086957,235.4576087,18.04000092,,
8/4/21,19482.72043,275.0632114,94.09756291,-0.007719558,224.7901401,72.99617457,2625.049988,4.032258065,15992.06087,35.18695652,236.1108696,17.96999931,,
8/5/21,17893.44262,277.6040838,94.05622122,-0.00657597,225.8574892,72.85640266,2839.890747,4.032258065,15999.38913,35.26304348,236.7641304,17.28000069,,
8/6/21,16327.53655,275.9016992,94.09120265,-0.005432381,223.1128772,72.82844828,2595.991164,4.032258065,16006.71739,35.33913043,237.4173913,16.14999962,,
8/9/21,14060.47851,275.9525167,94.05940135,-0.002065149,223.9896282,73.27063578,2672.553235,4.032258065,16028.70217,35.5673913,239.3771739,16.71999931,,
8/10/21,15626.38458,276.4098737,93.99897889,-0.002065149,225.78125,73.39770115,3069.777169,4.032258065,16036.03043,35.64347826,240.0304348,16.79000092,,
8/11/21,15275.8086,277.9089884,93.73184802,-0.002065149,227.1154364,73.5171426,4628.703221,4.032258065,16043.3587,35.71956522,240.6836957,16.17000008,,
8/12/21,16911.82986,282.1776541,94.10710329,-0.002065149,229.2501347,73.64674928,5694.071114,4.032258065,16050.68696,35.79565217,241.3369565,15.59000015,,
8/13/21,15603.01285,286.8274506,94.21840783,-0.002065149,229.2120151,73.92121049,4913.808812,4.032258065,16058.01522,35.87173913,241.9902174,15.44999981,,
8/16/21,13663.15906,285.6586493,94.03396032,-0.002065149,231.0417565,73.43836207,3254.229039,4.032258065,16080,36.1,243.95,16.12000084,,
8/17/21,14738.25875,288.6060613,94.08484239,-0.001302757,232.070986,73.41294899,3023.192134,4.032258065,16087.32826,36.17608696,244.6032609,17.90999985,,
8/18/21,14504.54143,288.1487043,93.98625837,-0.000603897,229.70757,73.40024246,3127.944113,4.032258065,16094.65652,36.25217391,245.2565217,21.56999969,,
8/19/21,14153.96544,285.3791533,93.75410892,9.50E-05,223.9515086,73.47139907,3908.995582,4.032258065,16101.98478,36.32826087,245.9097826,21.67000008,,
8/20/21,14831.74568,282.736646,93.60782297,0.000793822,222.8841595,73.54255568,3704.476322,4.032258065,16109.31304,36.40434783,246.5630435,18.55999947,,
8/23/21,14598.02836,284.0833084,93.69686659,0.002953933,227.5728718,74.25412177,2091.789228,4.032258065,16131.29783,36.6326087,248.5228261,17.14999962,,
8/24/21,16561.25388,285.4807882,93.75410892,0.003271597,228.9832974,74.15246947,2090.29338,4.032258065,16138.62609,36.70869565,249.176087,17.21999931,,
8/25/21,16280.79309,284.9980225,93.81453138,0.003525727,226.8485991,74.05589978,2771.800499,4.032258065,16145.95435,36.78478261,249.8293478,16.79000092,,
8/26/21,20394.21799,285.0742486,93.60146271,0.003779858,223.1891164,73.9237518,3078.462104,4.032258065,16153.28261,36.86086957,250.4826087,18.84000015,,
8/27/21,18057.04475,288.1995217,93.6110031,0.004097522,226.5436422,73.75856681,3226.653963,4.032258065,16160.61087,36.93695652,251.1358696,16.38999939,,
8/30/21,21726.40673,291.2739773,93.86859358,0.004923446,229.1738955,73.83480603,2924.89492,4.032258065,16182.59565,37.16521739,253.0956522,16.19000053,,
8/31/21,23198.82588,290.4100807,93.8590532,0.005685839,228.1446659,73.70011674,2414.94344,4.032258065,16189.92391,37.24130435,253.748913,16.47999954,,
9/1/21,21866.63713,289.7240452,94.11664368,0.006384698,232.4521821,73.54763829,2291.254884,3.033333333,16197.25217,37.3173913,254.4021739,16.11000061,,
9/2/21,25302.28179,290.1559935,94.24384886,0.007083558,235.6542295,73.27317708,2734.633031,3.033333333,16204.58043,37.39347826,255.0554348,16.40999985,,
9/3/21,23689.63226,289.088827,94.17388601,0.007782417,236.4166218,73.16135955,2558.027036,3.033333333,16211.9087,37.46956522,255.7086957,16.40999985,,
9/7/21,18080.41648,283.3464554,93.83997242,0.009624865,236.7596983,72.91993534,2326.402602,3.033333333,16241.22174,37.77391304,258.3217391,18.13999939,,
9/8/21,17776.58396,284.0578997,93.98625837,0.009370735,237.3314925,72.96313757,2768.670264,3.033333333,16248.55,37.85,258.975,17.95999908,,
9/9/21,16047.07576,281.2121226,94.26610977,0.009116604,237.1408944,73.20456178,2913.397662,3.033333333,16255.87826,37.92608696,259.6282609,18.79999924,,
9/10/21,17075.43199,279.1286072,94.31381171,0.00879894,235.9591864,73.42565553,2813.759049,3.033333333,16263.20652,38.00217391,260.2815217,20.95000076,,
9/13/21,16771.59947,282.2030628,94.40285533,0.007973015,242.1345636,72.8716505,2713.209791,3.033333333,16285.1913,38.23043478,262.2413043,19.37000084,,
